case,variant,format,n,input_dtype,n_mean,n_std,input_dtype_mean,input_dtype_std,format_mean,format_std,mode_mean,mode_std,round_mean,round_std,out_mean,out_std,scale_ms_mean,scale_ms_std,encode_ms_mean,encode_ms_std,quant_ms_mean,quant_ms_std,dequant_ms_mean,dequant_ms_std,h2d_ms_mean,h2d_ms_std,d2h_ms_mean,d2h_ms_std,process_ms_mean,process_ms_std,cpu_quant_ms_mean,cpu_quant_ms_std,cpu_dequant_ms_mean,cpu_dequant_ms_std,e2e_ms_mean,e2e_ms_std,cpu_e2e_ms_mean,cpu_e2e_ms_std,max_abs_mean,max_abs_std,mae_mean,mae_std,mse_mean,mse_std,payload_ratio_mean,payload_ratio_std,file_ratio_mean,file_ratio_std,dequant_GBs_mean,dequant_GBs_std,kernel_speedup_mean,kernel_speedup_std,process_speedup_mean,process_speedup_std,e2e_speedup
2048x2048_fp16_normal_e4m3_baseline,baseline,0,4194304,1,4194304.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9211520075798,0.003144559163236879,4.1964992523180005,0.3253604652425763,5.11765127182,0.32600964957195927,0.5740544080734,0.001996132691200925,0.6153599858284,0.006986081731589158,0.9126528024672,0.01701185094354618,10.6735458,0.3298765601102935,375.0811874,1.4178569805859431,44.8180782,0.11846409598144064,40.5809516,0.5352006316983396,447.4277626,0.8431465135780392,0.25,0.0,0.0179676673435,0.0,0.000705466963413,0.0,1.93939393939,0.0,1.93935481962,0.0,22.147911955399998,0.07670319557531026,73.96797715796001,4.264281547213465,39.36959518524,1.1970005319633734,11.025561130508335
2048x2048_fp16_normal_e4m3_optimized,optimized,0,4194304,1,4194304.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9256832003594,0.003895706372887659,0.9267072081566,0.0007246272695748035,1.852390384676,0.004077566953255907,0.12906880378740002,0.002266763782205161,0.6196031928064,0.009717491732271643,0.927052795887,0.018362424713486286,6.9881306,0.03902290050470367,373.9291496,0.6954197007763033,44.9166204,0.15722886532472252,37.194505,1.1093652348156133,446.7569138,0.6009637619771345,0.25,0.0,0.0179676673435,0.0,0.000705466963413,0.0,1.93939393939,0.0,1.93935481962,0.0,98.5292314592,1.6907621313810663,211.38279347280002,0.49966257272085074,59.93840881504,0.38810081353143805,12.011368716965046
2048x2048_fp16_normal_e5m2_baseline,baseline,1,4194304,1,4194304.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9204991936682,0.0014708690776402927,4.163379192352,0.12949334534158646,5.083878421784,0.12864245384614523,0.5693439841272,0.0022897510440290174,0.6141248106956,0.020348864533575397,0.9384127974508,0.02780612352043903,10.7017586,0.13039922630253553,427.623581,3.7247553029689127,45.4330702,0.15582271165237704,43.518161,7.436513404544127,501.032327,4.2881141684913295,0.49609375,0.0,0.0358417270102,0.0,0.00279605114536,0.0,1.93939393939,0.0,1.93935481962,0.0,22.33122327818,0.08932828769514496,83.71705636324,2.1423049478846297,44.210472490280004,0.763990515244647,11.513177843153805
2048x2048_fp16_normal_e5m2_optimized,optimized,1,4194304,1,4194304.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9256383895872,0.002527843315510277,0.9269632101058,0.0004443054344579784,1.852601599692,0.002719314121774586,0.13001600205900002,0.0023480210651827165,0.6291519999504,0.01804311590559299,0.9270783901214,0.026666377796764253,7.0452638,0.05238440050434865,426.8896724,0.4621471486916122,45.5973724,0.3084709692066672,37.6173436,0.7586252696485281,500.59291460000003,1.2331353988308789,0.49609375,0.0,0.0358417270102,0.0,0.00279605114536,0.0,1.93939393939,0.0,1.93935481962,0.0,97.81321379970001,1.7563069861959493,238.3149453254,0.25452974131460865,67.06712632632,0.44810807879984377,13.3075030476102
2048x2048_fp16_normal_nvfp4_baseline,baseline,2,4194304,1,4194304.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9665664672839998,0.21652960202945945,2.8442303657559997,0.0005356606369376828,6.81079673767,0.2165434793184008,0.7585791945457999,0.0024447851074391167,0.607987201214,0.01774430993162952,0.8304256081584,0.05141677630166341,11.9680024,0.2020444807110557,280.2094626,0.5011823543684314,68.5784232,0.3630584809210486,39.0632322,0.9549811326040439,375.5241978,0.8158412089565605,0.646484375,0.0,0.0715041533434,0.0,0.00906299614809,0.0,3.5555495274,0.0,3.55540711907,0.0,14.16858916702,0.045483661273166394,46.1091946506,1.3245415651756747,29.14979516512,0.47990669758356536,9.613239270046886
2048x2048_fp16_normal_nvfp4_optimized,optimized,2,4194304,1,4194304.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.11921916008,0.003263267995616697,0.9234752178182,0.15179220624757456,3.042694425584,0.15386038242773004,0.290169596672,0.002132318136903478,0.6067775964736,0.012441201652338795,0.7896064043044,0.01250564093550666,7.6753788,0.15669318968991588,280.0331208,0.515334230992076,68.351534,0.3077670109149169,38.9233532,4.055865396165249,378.3760018,2.7452449262822918,0.646484375,0.0,0.0715041533434,0.0,0.00906299614809,0.0,3.5555495274,0.0,3.55540711907,0.0,37.041676588,0.2698696253033976,104.69332980212,4.447580012171144,45.40391041446,0.8623011961412813,9.721053575620509
2048x2048_fp32_normal_e4m3_baseline,baseline,0,4194304,0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6035583972928,0.004049578521384267,3.54570245743,0.0005608721711211801,4.149260807038,0.004594745436067103,0.7004160046578,0.17438240836939417,1.129318404198,0.01011247355944835,0.9053823947908001,0.011902697167962729,8.5526798,0.9153491552012818,336.6393004,1.3231364720119771,43.8020434,0.5796202936995047,45.4315092,2.055927036805465,417.0735866,3.386993431177755,0.248138904572,0.0,0.0179676193912,0.0,0.000705380363771,0.0,3.87878787879,0.0,3.87869854222,0.0,19.01624406788,4.339015273166531,78.52781643878,2.8336555544372186,44.8417468088,4.208306485421538,9.18027144473554
2048x2048_fp32_normal_e4m3_optimized,optimized,0,4194304,0,4194304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6014783978462,0.0038336880772433936,0.7501823902132,0.0005608721694780488,1.35166079998,0.0037572661520742056,0.128819203377,0.0018317808430760758,1.129670405388,0.035366346953667895,0.8944063901904,0.024553263039087347,5.2176722,0.8726244452507618,337.1792408,1.1960695082189878,43.8626334,0.8364792416717812,40.789669,0.9543505553149746,414.6466706,1.9175236087431298,0.248138904572,0.0,0.0179676193912,0.0,0.000705380363771,0.0,3.87878787879,0.0,3.87869854222,0.0,98.7120097123,1.3773856074553525,257.3780794372,1.0035828695437965,74.38051329283999,10.107466305326803,10.165482602960077
2048x2048_fp32_normal_e5m2_baseline,baseline,1,4194304,0,4194304.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6279296040534,0.056192994066590736,4.0751104354839995,0.34254944763656603,4.703040027618,0.3986783379417032,0.5689343929292,0.001996146451061803,1.146099209788,0.017962131641075796,0.9204160094262,0.04185932212103143,9.0956882,0.9565477985760565,391.4895844,2.806186586557509,44.2871096,0.7559827021839178,47.6050472,3.7979503383516873,467.0350686,0.3518744548667954,0.494898319244,0.0,0.035841911552,0.0,0.00279600470037,0.0,3.87878787879,0.0,3.87869854222,0.0,22.34723169726,0.07808767041138043,83.00832932412,5.8013326584665155,48.30252396508,4.680933550237092,9.810620849463206
2048x2048_fp32_normal_e5m2_optimized,optimized,1,4194304,0,4194304.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6003391981124,0.002425967673150879,0.7501823902132,0.0005608721694780488,1.3505216121680002,0.00264067431311102,0.128819203377,0.0018317808430760758,1.152153611184,0.02008810874900218,0.9100416064264,0.00866320252145764,5.2557925999999995,0.8918126116013947,390.6260618,0.6023172123613215,44.2756268,0.5945499125979246,42.148266400000004,2.3070288235732566,469.5700942,3.406905186248464,0.494898319244,0.0,0.035841911552,0.0,0.00279600470037,0.0,3.87878787879,0.0,3.87869854222,0.0,98.7120097123,1.3773856074553525,293.9840349444,0.7341625862022669,84.31052021038,11.518822358303954,11.140911223812516
2048x2048_fp32_normal_nvfp4_baseline,baseline,2,4194304,0,4194304.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.449017620088,0.18951266007441314,2.660908794402,0.0008924565348230713,6.109926319122,0.1890110501052153,0.7583743929864,0.001996158681404026,1.128121590616,0.024741751100011495,0.7878527998924,0.013379912768628483,10.2877454,0.7024741989484736,249.0192468,0.5310488678391031,67.2964456,0.6071407668406069,41.5093728,0.5458188369575578,346.7373932,0.9230975489398239,0.64587688446,0.0,0.0715033438412,0.0,0.00906308887685,0.0,7.1110990548,0.0,7.11079389406,0.0,14.17237645256,0.037189816777707344,46.08423208054,1.3597456485569406,30.85096104796,1.9107789742055323,8.353231326106666
2048x2048_fp32_normal_nvfp4_optimized,optimized,2,4194304,0,4194304.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.61767678261,0.0029425635471218045,0.6795263886452,0.0005608721694780488,2.297203159332,0.0027408196798873984,0.2897919952868,0.002289737716169454,1.122137594222,0.011905431364613348,0.7821759939196,0.00998274867514915,5.977554,0.7254635854234862,250.01385000000002,1.0994870373917558,67.1124068,0.6688981976292819,42.9146874,5.168888166334689,350.1716372,1.9795052943778035,0.64587688446,0.0,0.0715033438412,0.0,0.00906308887685,0.0,7.1110990548,0.0,7.11079389406,0.0,37.09018665262,0.28998715800448477,122.5847975888,0.35417281038335774,53.591206195,5.547429323873544,8.159715435792736
32x32_fp16_normal_e4m3_baseline,baseline,0,1024,1,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0122880004346,0.0,0.01986559927464,0.0005608680887259281,0.03215359970928,0.0005608680887807003,0.006758400052784,0.001996143345385874,0.0057600000873200006,0.0003839999262710582,0.02666239961984,0.000433714850133989,0.1247412,0.0054482663022286295,0.09061140000000001,0.0012188795264504214,0.010662,0.00020937287312352562,0.4105524,0.04609532085580921,0.299716,0.010543110143596154,0.123046875,0.0,0.0177534706891,0.0,0.000684176015092,0.0,1.93939393939,0.0,1.79452054795,0.0,0.484999993873,0.11068559876398526,2.607756712154,0.10907261112733406,0.8128358232458001,0.02895146924184856,0.7300310508475897
32x32_fp16_normal_e4m3_optimized,optimized,0,1024,1,1024.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01187840029596,0.0005608680887259291,0.00757760005072,0.0005608678337063061,0.019455999136,0.0,0.004710400011392,0.0019961434528899297,0.005529600009322,0.00031548829992461433,0.02409600019456,0.0007429233520844563,0.1071994,0.006940730098483881,0.0916468,0.0030602895614630977,0.010724000000000001,0.000136687600022826,0.3980182,0.04621403117777111,0.3017276,0.0128198293787398,0.123046875,0.0,0.0177534706891,0.0,0.000684176015092,0.0,1.93939393939,0.0,1.79452054795,0.0,0.7325520775252,0.22593602402489385,4.249779905738,0.21348992372746853,0.9570510684982,0.045241147237117474,0.7580748820028833
32x32_fp16_normal_e5m2_baseline,baseline,1,1024,1,1024.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01249280031768,0.0004579464603508891,0.0223296001554,0.0004436359327989574,0.03482240065934,1.431094404195274e-05,0.00659839995205,0.0020847207025610002,0.005420799925922,0.000263490410345306,0.02397439964114,0.0008370312319952815,0.1229064,0.0058224377454808435,0.1039728,0.0017689163914668185,0.011116,0.00024360623965736183,0.4373104,0.12015427908859508,0.3183468,0.015633395878695073,0.244140625,0.0,0.0362966060638,0.0,0.0027978552453,0.0,1.93939393939,0.0,1.79452054795,0.0,0.49996354014620004,0.11845403828427489,2.782194499592,0.09373994448635171,0.9374671754018,0.02900519498398915,0.7279653079368796
32x32_fp16_normal_e5m2_optimized,optimized,1,1024,1,1024.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01271040011196,0.0005498040813503754,0.007360000163318,0.00042932519701990607,0.020070399343960002,0.0005608680887259281,0.005324800033124,0.0022199792491214465,0.005516800004988,0.00019279832822409332,0.02432640008628,0.002347631499124292,0.10852,0.007067819642577192,0.1050214,0.0025590992165213143,0.0108676,0.00013671247199871736,0.383046,0.03810250703693919,0.3169746,0.014656366527894983,0.244140625,0.0,0.0362966060638,0.0,0.0027978552453,0.0,1.93939393939,0.0,1.79452054795,0.0,0.6432986129392,0.1834740393194971,4.58069523128,0.2895621374846193,1.070692832564,0.056101930968238525,0.8275105339828637
32x32_fp16_normal_nvfp4_baseline,baseline,2,1024,1,1024.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01761280037464,0.00045794687684091014,0.02805760018528,0.0005608680887807003,0.04567040055992,0.0005608680887807003,0.011263999715440001,0.002289733551135067,0.005715200025588,0.0003436090534210562,0.02421759963036,0.0009333362363159008,0.1403338,0.004658873758753295,0.068192,0.0025619140305638676,0.0153358,0.000706725335614905,0.4107706,0.04759408204073276,0.2828656,0.02170777234770994,0.478515625,0.0,0.071614317596,0.0,0.00914450843997,0.0,3.53103448276,0.0,3.04651162791,0.0,0.23953125605079997,0.03825772651896404,1.46755636846,0.04210477820947908,0.595427424527,0.019535082350396814,0.6886218244441058
32x32_fp16_normal_nvfp4_optimized,optimized,2,1024,1,1024.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01419520005582,0.0007817435068260769,0.01119999997318,9.050986329486026e-05,0.02539520002904,0.0008567392667001369,0.007372800167656,0.0022199790450769153,0.00540799992159,0.0004091747266105326,0.0238911997527,0.0014091995859745314,0.1151972,0.006111536034418842,0.0670526,0.002478994614758173,0.0161016,0.0023333072665210636,0.395751,0.03636602145547405,0.3136894,0.09012429693096086,0.478515625,0.0,0.071614317596,0.0,0.00914450843997,0.0,3.53103448276,0.0,3.04651162791,0.0,0.3766284392278,0.08437371960062222,2.540338341214,0.12024474215361922,0.7220589234056,0.012612382875793762,0.7926433540281641
32x32_fp32_normal_e4m3_baseline,baseline,0,1024,0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01208320036528,0.0004579468767961896,0.022137600183519998,0.0005356536255219287,0.03422080054878,0.0005447524985876912,0.0075968000106579996,0.002098087543887703,0.00641919998452,0.00024117036922743795,0.02447999976576,0.0016777892118065988,0.1275148,0.0074310681062684444,0.083194,0.0016010449712609597,0.0106568,0.00024223480344492184,0.403345,0.0450009338180887,0.290213,0.01666816120632386,0.123792171478,0.0,0.0177487058079,0.0,0.000683682682175,0.0,3.87878787879,0.0,3.54794520548,0.0,0.4285250490132,0.09106476640789202,2.247258228394,0.09438112747929811,0.7380463574034,0.04581681075654925,0.7195155512030643
32x32_fp32_normal_e4m3_optimized,optimized,0,1024,0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0113792002201,0.0006211628373378622,0.007257600128652,0.0003609056499856534,0.0186368003488,0.0004579460438161468,0.004915199987592,0.0018317868825436393,0.00609919996932,0.0003337832761438069,0.02528639994562,0.0007829871136891237,0.1066242,0.005272491555232686,0.0820364,0.000651773963886253,0.0107162,0.00018611474954984092,0.3849102,0.04037594543413194,0.2935704,0.017503904230199614,0.123792171478,0.0,0.0177487058079,0.0,0.000683682682175,0.0,3.87878787879,0.0,3.54794520548,0.0,0.6820312517218,0.16945202684744212,3.952888892884,0.24413626743104003,0.871254743655,0.034340954984207216,0.7626984164098536
32x32_fp32_normal_e5m2_baseline,baseline,1,1024,0,1024.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01085439994932,0.0005608680887807003,0.02170879989864,0.00045794687684091014,0.03256319984796,0.00045794687684091014,0.006367999967186,0.0022070721687119975,0.005753600038588,0.0002613442118589143,0.02554240003228,0.0011366529216710163,0.1225502,0.00446732623612828,0.0957202,0.0021313588857815578,0.0109806,0.0001355629005296068,0.39975120000000003,0.03594649396255497,0.3038006,0.012782661843293814,0.244701623917,0.0,0.0363083839823,0.0,0.0028006965066,0.0,3.87878787879,0.0,3.54794520548,0.0,0.5231850725554,0.13011511528443329,2.747118957074,0.14632123472788433,0.871127384768,0.017148889308795583,0.7599742039548598
